id,instrumentName,localDate,localTime,co,o3,no2,so2,no,voc,pm2p5,pm10,rh,pressure,sensorTemp,heaterTemp,internalTemp,timeRec,UTCdate,UTCtime,alarms
92328,thermo-grid-883f4a344cbe,2024/06/17,15:40,0.1,0.0,49.08,34.49,0.0,0.0,3.37,31.6,40.33,91.33,33.17,34.96,36.72,1718628005,2024/06/17," 12:40",0x00000000
92329,thermo-grid-883f4a344cbe,2024/06/17,15:45,0.08,0.0,51.36,28.68,0.0,0.0,3.04,32.0,40.52,91.32,33.08,34.95,36.65,1718628305,2024/06/17," 12:45",0x00000000
92330,thermo-grid-883f4a344cbe,2024/06/17,15:50,0.08,0.0,54.72,33.8,0.0,0.0,2.54,25.44,41.15,91.31,32.91,34.94,36.45,1718628605,2024/06/17," 12:50",0x00000000
92331,thermo-grid-883f4a344cbe,2024/06/17,15:55,0.06,0.0,52.46,29.53,0.0,0.0,2.44,19.66,41.35,91.31,32.83,34.93,36.39,1718628905,2024/06/17," 12:55",0x00000000
92332,thermo-grid-883f4a344cbe,2024/06/17,16:00,0.08,0.0,54.02,30.96,0.0,0.0,2.88,24.42,41.62,91.31,32.82,34.94,36.37,1718629205,2024/06/17," 13:00",0x00000000
92333,thermo-grid-883f4a344cbe,2024/06/17,16:05,0.07,0.0,51.96,27.15,0.0,0.0,3.19,25.03,41.73,91.31,32.78,34.94,36.31,1718629505,2024/06/17," 13:05",0x00000000
92334,thermo-grid-883f4a344cbe,2024/06/17,16:10,0.1,0.0,47.54,15.71,0.0,0.0,4.18,53.71,41.37,91.31,32.74,34.95,36.26,1718629805,2024/06/17," 13:10",0x00000000
92335,thermo-grid-883f4a344cbe,2024/06/17,16:15,0.13,0.0,53.37,25.16,0.0,0.0,4.84,50.89,41.24,91.31,32.72,34.96,36.25,1718630105,2024/06/17," 13:15",0x00000000
92336,thermo-grid-883f4a344cbe,2024/06/17,16:20,0.11,0.0,45.37,10.0,0.0,0.0,4.71,52.9,40.63,91.31,32.73,34.97,36.3,1718630405,2024/06/17," 13:20",0x00000000
92337,thermo-grid-883f4a344cbe,2024/06/17,16:25,0.12,0.0,47.88,14.19,0.0,0.0,7.19,75.49,40.39,91.32,32.78,34.98,36.36,1718630705,2024/06/17," 13:25",0x00000000
92338,thermo-grid-883f4a344cbe,2024/06/17,16:30,0.08,0.0,37.82,0.0,0.0,0.0,3.71,34.57,39.93,91.32,32.78,34.98,36.35,1718631005,2024/06/17," 13:30",0x00000000
92339,thermo-grid-883f4a344cbe,2024/06/17,16:35,0.03,0.0,42.26,4.83,0.0,0.0,3.27,23.72,39.95,91.32,32.67,34.95,36.19,1718631305,2024/06/17," 13:35",0x00000000
92340,thermo-grid-883f4a344cbe,2024/06/17,16:40,0.11,0.0,51.66,25.93,0.0,0.0,5.16,64.89,41.18,91.33,32.42,34.92,35.85,1718631605,2024/06/17," 13:40",0x00000000
92341,thermo-grid-883f4a344cbe,2024/06/17,16:45,0.07,0.0,53.31,33.3,0.0,0.0,3.17,26.07,42.29,91.33,32.02,34.87,35.38,1718631905,2024/06/17," 13:45",0x00000000
