"date","no2","o3","so2","rh","co","pm2p5","pm10","datetime"
"2/3/2024 6:15:00 PM",55.415,0,43.434,57.832,0.066,1.954,21.275,2024-02-03 18:15:00
"3/4/2024 8:35:00 PM",52.212,0,39.459,66.332,0.166,1.25,4.491,2024-03-04 20:35:00
"3/1/2024 6:25:00 AM",42.342,0,27.293,65.609,0.162,7.038,38.769,2024-03-01 06:25:00
"2/11/2024 5:30:00 AM",38.409,0,14.655,64.423,0,1.472,4.368,2024-02-11 05:30:00
"3/12/2024 11:50:00 AM",32.707,0,0,36.669,0,3.677,51.074,2024-03-12 11:50:00
"3/1/2024 9:05:00 PM",45.782,0,22.435,62.471,0.015,1.274,12.329,2024-03-01 21:05:00
"2/10/2024 4:10:00 AM",39.696,0,16.706,65.251,0,1.874,7.362,2024-02-10 04:10:00
"3/7/2024 8:35:00 AM",20.974,0,0,53.967,0,0.827,9.541,2024-03-07 08:35:00
"2/2/2024 10:25:00 PM",35.067,0,0.286,58.981,0,1.064,6.79,2024-02-02 22:25:00
"3/3/2024 3:40:00 PM",36.173,0,0,39.046,0.042,1.735,16.642,2024-03-03 15:40:00
"3/8/2024 2:10:00 AM",34.155,0,0,63.244,0,0.99,4.575,2024-03-08 02:10:00
"2/12/2024 1:45:00 AM",34.574,0,13.655,64.482,0,2.525,8.79,2024-02-12 01:45:00
"2/23/2024 3:45:00 PM",47.029,0,9.573,49.629,0.035,6.378,70.067,2024-02-23 15:45:00
"3/7/2024 9:15:00 AM",36.973,0,1.258,55.38,0,0.692,8.387,2024-03-07 09:15:00
"1/9/2024 11:50:00 PM",45.116,0,10.93,62.722,0.002,2.724,21.678,2024-01-09 23:50:00
"2/23/2024 2:20:00 PM",64.604,0,56.247,52.962,0.115,2.847,37.508,2024-02-23 14:20:00
"3/14/2024 8:30:00 PM",58.776,0,63.668,60.71,0.332,11.705,109.174,2024-03-14 20:30:00
"3/22/2024 4:25:00 AM",39.458,0,1.292,62.123,0,2.099,18.319,2024-03-22 04:25:00
"2/23/2024 11:30:00 PM",37.597,0,28.18,64.98,0.102,12.326,135.679,2024-02-23 23:30:00
"2/13/2024 12:55:00 PM",21.811,0,0,39.76,0.002,1.003,8.941,2024-02-13 12:55:00
"3/8/2024 7:25:00 AM",41.725,0,12.249,62.178,0,1.247,14.985,2024-03-08 07:25:00
"2/6/2024 12:45:00 AM",40.571,0,10.26,65.326,0.001,2.569,15.295,2024-02-06 00:45:00
"2/13/2024 1:40:00 AM",39.242,0,27.098,64.125,0.019,3.565,14.459,2024-02-13 01:40:00
"3/1/2024 6:35:00 PM",36.772,0,20.503,56.464,0.01,1.255,9.9,2024-03-01 18:35:00
"3/2/2024 11:30:00 PM",39.381,0,15.537,63.464,0,2.19,21.534,2024-03-02 23:30:00
"3/11/2024 5:30:00 PM",48.128,0,24.466,47.179,0.011,3.952,34.12,2024-03-11 17:30:00
"3/19/2024 5:10:00 AM",39.804,0,21.786,66.421,0,8.493,58.655,2024-03-19 05:10:00
"3/28/2024 1:45:00 AM",39.322,0,19.869,60.462,0,7.894,129.196,2024-03-28 01:45:00
"2/10/2024 12:50:00 AM",38.459,0,7.965,62.383,0,1.643,4.969,2024-02-10 00:50:00
"3/14/2024 1:25:00 PM",32.948,0.262,0,37.819,0.011,3.58,43.158,2024-03-14 13:25:00
"3/22/2024 12:55:00 AM",32.455,0,0,62.857,0,0.801,4.039,2024-03-22 00:55:00
"3/21/2024 2:05:00 PM",33.155,0,0,44.528,0.015,2.182,26.964,2024-03-21 14:05:00
"2/11/2024 12:35:00 PM",29.569,2.06,0,36.258,0.002,1.014,6.537,2024-02-11 12:35:00
"12/20/2023 8:25:00 AM",17.284,0,0,47.19,0,1.789,14.297,2023-12-20 08:25:00
"2/5/2024 6:50:00 AM",45.298,0,43.973,65.664,0.214,9.226,37.438,2024-02-05 06:50:00
"3/28/2024 4:30:00 AM",38.732,0,23.707,59.993,0,21.93,229.723,2024-03-28 04:30:00
"2/11/2024 5:05:00 AM",37.851,0,14.581,64.454,0,1.364,3.637,2024-02-11 05:05:00
"3/18/2024 4:55:00 PM",41.383,0,1.699,44.944,0.028,3.023,37.72,2024-03-18 16:55:00
"3/6/2024 4:15:00 PM",32.558,0,0,58.995,0,2.173,23.508,2024-03-06 16:15:00
"3/4/2024 7:40:00 AM",46.062,0,34.451,62.35,0.168,6.116,60.33,2024-03-04 07:40:00
"3/8/2024 6:30:00 AM",41.378,0,14.135,62.683,0,1.036,13.555,2024-03-08 06:30:00
"3/6/2024 11:40:00 AM",39.948,0,12.294,54.107,0,0.838,10.823,2024-03-06 11:40:00
"3/18/2024 3:15:00 PM",42.467,0,6.888,46.891,0.08,2.209,26.486,2024-03-18 15:15:00
"3/1/2024 11:55:00 AM",21.224,0,0,45.684,0.058,4.073,16.059,2024-03-01 11:55:00
"3/6/2024 8:55:00 AM",33.022,0,0,56.06,0,0.992,7.759,2024-03-06 08:55:00
"2/10/2024 3:05:00 PM",13.239,0,0,36.924,0,5.852,147.735,2024-02-10 15:05:00
"3/5/2024 4:35:00 AM",35.434,0,5.858,64.804,0,1.135,3.18,2024-03-05 04:35:00
"2/28/2024 2:25:00 AM",42.116,0,22.058,66.814,0.037,10.039,79.005,2024-02-28 02:25:00
